Time;Yksiaikainen (kWh);Status;Temperature;Temperature;Yksiaikainen (kWh);Energy(kWh);Temperature
1.4.2022 00:00;0,42;Metered;-11,1;;;0,42;-11,1
1.4.2022 01:00;0,61;Metered;-12,1;;;0,61;-12,1
1.4.2022 02:00;0,13;Metered;-10,3;;;0,13;-10,3
1.4.2022 03:00;0,05;Metered;-9,2;;;0,05;-9,2
1.4.2022 04:00;0,11;Metered;-8,9;;;0,11;-8,9
1.4.2022 05:00;0,09;Metered;-8,5;;;0,09;-8,5
1.4.2022 06:00;0,07;Metered;-8,5;;;0,07;-8,5
1.4.2022 07:00;0,13;Metered;-8,5;;;0,13;-8,5
1.4.2022 08:00;0,23;Metered;-6,8;;;0,23;-6,8
1.4.2022 09:00;0,10;Metered;-5,6;;;0,10;-5,6
1.4.2022 10:00;0,27;Metered;-3,7;;;0,27;-3,7
1.4.2022 11:00;0,47;Metered;-2,1;;;0,47;-2,1
1.4.2022 12:00;0,35;Metered;-0,9;;;0,35;-0,9
1.4.2022 13:00;0,14;Metered;-0,4;;;0,14;-0,4
1.4.2022 14:00;0,66;Metered;-0,4;;;0,66;-0,4
1.4.2022 15:00;0,15;Metered;-0,2;;;0,15;-0,2
1.4.2022 16:00;0,08;Metered;-0,7;;;0,08;-0,7
1.4.2022 17:00;0,26;Metered;-1,2;;;0,26;-1,2
1.4.2022 18:00;0,16;Metered;-2,2;;;0,16;-2,2
1.4.2022 19:00;0,07;Metered;-3,4;;;0,07;-3,4
1.4.2022 20:00;0,11;Metered;-4,8;;;0,11;-4,8
1.4.2022 21:00;0,64;Metered;-8,2;;;0,64;-8,2
1.4.2022 22:00;0,59;Metered;-9,8;;;0,59;-9,8
1.4.2022 23:00;0,08;Metered;-10,1;;;0,08;-10,1
2.4.2022 00:00;0,22;Metered;-9,4;;;0,22;-9,4
2.4.2022 01:00;0,31;Metered;-8,4;;;0,31;-8,4
2.4.2022 02:00;0,60;Metered;-9,3;;;0,60;-9,3
2.4.2022 03:00;0,10;Metered;-10,2;;;0,10;-10,2
2.4.2022 04:00;0,06;Metered;-11,1;;;0,06;-11,1
2.4.2022 05:00;0,12;Metered;-11,2;;;0,12;-11,2
2.4.2022 06:00;0,07;Metered;-10,5;;;0,07;-10,5
2.4.2022 07:00;0,09;Metered;-9,1;;;0,09;-9,1
2.4.2022 08:00;0,10;Metered;-6,5;;;0,10;-6,5
2.4.2022 09:00;0,12;Metered;-4,4;;;0,12;-4,4
2.4.2022 10:00;0,59;Metered;-2,6;;;0,59;-2,6
2.4.2022 11:00;0,07;Metered;-1,1;;;0,07;-1,1
2.4.2022 12:00;0,33;Metered;0,1;;;0,33;0,1
2.4.2022 13:00;1,20;Metered;1,0;;;1,20;1,0
2.4.2022 14:00;0,17;Metered;0,4;;;0,17;0,4
2.4.2022 15:00;0,06;Metered;-1,5;;;0,06;-1,5
2.4.2022 16:00;0,12;Metered;-1,2;;;0,12;-1,2
2.4.2022 17:00;0,05;Metered;-0,5;;;0,05;-0,5
2.4.2022 18:00;0,10;Metered;-1,0;;;0,10;-1,0
2.4.2022 19:00;0,29;Metered;-2,1;;;0,29;-2,1
2.4.2022 20:00;0,94;Metered;-4,4;;;0,94;-4,4
2.4.2022 21:00;0,12;Metered;-6,0;;;0,12;-6,0
2.4.2022 22:00;0,16;Metered;-6,9;;;0,16;-6,9
2.4.2022 23:00;0,06;Metered;-7,4;;;0,06;-7,4
3.4.2022 00:00;0,46;Metered;-8,8;;;0,46;-8,8
3.4.2022 01:00;0,71;Metered;-9,0;;;0,71;-9,0
3.4.2022 02:00;0,10;Metered;-10,0;;;0,10;-10,0
3.4.2022 03:00;0,07;Metered;-10,9;;;0,07;-10,9
3.4.2022 04:00;0,10;Metered;-11,9;;;0,10;-11,9
3.4.2022 05:00;0,10;Metered;-12,1;;;0,10;-12,1
3.4.2022 06:00;0,08;Metered;-12,7;;;0,08;-12,7
3.4.2022 07:00;0,09;Metered;-12,9;;;0,09;-12,9
3.4.2022 08:00;0,06;Metered;-10,9;;;0,06;-10,9
3.4.2022 09:00;0,12;Metered;-5,8;;;0,12;-5,8
3.4.2022 10:00;0,47;Metered;-5,2;;;0,47;-5,2
3.4.2022 11:00;0,14;Metered;-3,6;;;0,14;-3,6
3.4.2022 12:00;0,15;Metered;-2,4;;;0,15;-2,4
3.4.2022 13:00;0,30;Metered;-2,3;;;0,30;-2,3
3.4.2022 14:00;0,39;Metered;-3,1;;;0,39;-3,1
3.4.2022 15:00;0,68;Metered;-3,5;;;0,68;-3,5
3.4.2022 16:00;0,83;Metered;-2,5;;;0,83;-2,5
3.4.2022 17:00;0,16;Metered;-2,7;;;0,16;-2,7
3.4.2022 18:00;0,10;Metered;-3,0;;;0,10;-3,0
3.4.2022 19:00;0,34;Metered;-3,8;;;0,34;-3,8
3.4.2022 20:00;0,19;Metered;-5,5;;;0,19;-5,5
3.4.2022 21:00;0,25;Metered;-8,4;;;0,25;-8,4
3.4.2022 22:00;0,14;Metered;-10,7;;;0,14;-10,7
3.4.2022 23:00;0,07;Metered;-12,4;;;0,07;-12,4
