Time;Price (cent/kWh)
29/09/2023 0.59;-0,06
29/09/2023 1.59;-0,06
29/09/2023 2.59;-0,057
29/09/2023 3.59;-0,036
29/09/2023 4.59;0
29/09/2023 5.59;0,205
29/09/2023 6.59;0,432
29/09/2023 7.59;0,64
29/09/2023 8.59;0,821
29/09/2023 9.59;0,87
29/09/2023 10.59;0,862
29/09/2023 11.59;0,848
29/09/2023 12.59;0,775
29/09/2023 13.59;0,774
29/09/2023 14.59;0,723
29/09/2023 15.59;0,723
29/09/2023 16.59;0,733
29/09/2023 17.59;0,75
29/09/2023 18.59;0,656
29/09/2023 19.59;0,619
29/09/2023 20.59;0,451
29/09/2023 21.59;0,326
29/09/2023 22.59;0,212
29/09/2023 23.59;0,02
30/09/2023 0.59;-0,002
30/09/2023 1.59;-0,004
30/09/2023 2.59;-0,007
30/09/2023 3.59;-0,002
30/09/2023 4.59;0
30/09/2023 5.59;0,001
30/09/2023 6.59;0,009
30/09/2023 7.59;0,154
30/09/2023 8.59;0,246
30/09/2023 9.59;0,265
30/09/2023 10.59;0,186
30/09/2023 11.59;0,184
30/09/2023 12.59;0,166
30/09/2023 13.59;0,161
30/09/2023 14.59;0,166
30/09/2023 15.59;0,201
30/09/2023 16.59;0,233
30/09/2023 17.59;0,389
30/09/2023 18.59;0,62
30/09/2023 19.59;0,537
30/09/2023 20.59;0,193
30/09/2023 21.59;0,16
30/09/2023 22.59;0,068
30/09/2023 23.59;0
01/10/2023 0.59;-0,199
01/10/2023 1.59;-0,202
01/10/2023 2.59;-0,208
01/10/2023 3.59;-0,209
01/10/2023 4.59;-0,207
01/10/2023 5.59;-0,207
01/10/2023 6.59;-0,2
01/10/2023 7.59;-0,179
01/10/2023 8.59;-0,107
01/10/2023 9.59;-0,016
01/10/2023 10.59;0
01/10/2023 11.59;0,048
01/10/2023 12.59;-0,005
01/10/2023 13.59;-0,151
01/10/2023 14.59;-0,07
01/10/2023 15.59;0,19
01/10/2023 16.59;0,399
01/10/2023 17.59;0,594
01/10/2023 18.59;1,342
01/10/2023 19.59;5,829
01/10/2023 20.59;0,618
01/10/2023 21.59;0,605
01/10/2023 22.59;0,527
01/10/2023 23.59;0,445
02/10/2023 0.59;0,346
02/10/2023 1.59;0,345
02/10/2023 2.59;0,361
02/10/2023 3.59;0,391
02/10/2023 4.59;0,479
02/10/2023 5.59;2,481
02/10/2023 6.59;17,369
02/10/2023 7.59;25,596
02/10/2023 8.59;40,909
02/10/2023 9.59;24,81
02/10/2023 10.59;22,331
02/10/2023 11.59;17,362
02/10/2023 12.59;17,362
02/10/2023 13.59;16,346
02/10/2023 14.59;17,358
02/10/2023 15.59;17,37
02/10/2023 16.59;22,33
02/10/2023 17.59;24,8
